Basis Size,Error
1,1.0000000140709726
1,0.9978209197250724
1,1.0000000119364039
1,1.0000000044010664
1,0.9975736032660766
2,0.9997984445746152
2,0.9886476567213759
2,0.6846182882863415
2,0.8741444726664637
2,0.9648851061617219
3,0.5755365145570899
3,0.9520151557917571
3,0.9578943590225534
3,0.4430865795924648
3,0.8148608259834016
4,0.5828862800016599
4,0.3311737897563442
4,0.5662206948479906
4,0.6456765949084965
4,0.860022486840188
5,0.3361581475689951
5,0.9950092613707644
5,0.9136397466869052
5,0.7741270453189562
5,0.9265842887530608
6,0.12429466159384431
6,0.4688532787447459
6,0.7084699520010955
6,0.15868490186482545
6,0.40515486110838067
7,0.7860230877214656
7,0.38346185823413365
7,0.3000418247738164
7,0.5344880784165259
7,0.4629562245027596
8,0.6963235969764304
8,0.686441451277608
8,0.872965459534687
8,0.897084665537983
8,0.6077701175706194
9,0.6814691434630583
9,0.5423723501754649
9,0.4756544420260797
9,0.6984891645417439
9,0.7543638497136232
10,0.37313109476114364
10,0.40023335738723037
10,0.5598563035145344
10,0.2870279346666042
10,0.585398086387507
11,0.34776705824896703
11,0.2627359293159498
11,0.15790827031772667
11,0.8606398429214827
11,0.20176219166518122
12,0.16166283031557488
12,0.6131905225299334
12,0.2521206619551848
12,0.2686309304212842
12,0.2317781527461798
13,0.5077218508141295
13,0.1633698449105954
13,0.5072290499212853
13,0.6628804951727567
13,0.5416798400648729
14,0.08404243185802517
14,0.19166295409072787
14,0.1140561200550809
14,0.22423082001045053
14,0.45598297249506853
15,0.212160356250853
15,0.27928648567899955
15,0.3061380715893464
15,0.4471863940855679
15,0.3009661639730576
16,0.49151110077690396
16,0.305421761308808
16,0.17686637525222676
16,0.21278762541641075
16,0.13712447678314896
17,0.17081297499163892
17,0.5110716609545859
17,0.5595771460834437
17,0.4304504989983826
17,0.37371346555009743
18,0.3227636765059839
18,0.15867201743170367
18,0.39787793235476043
18,0.24967250088687187
18,0.014051359210925651
19,0.07823426070483183
19,0.06424925203853729
19,0.15857230607842548
19,0.21662569434313084
19,0.26541805466481905
20,0.06841686539153338
20,0.3480803281126967
20,0.10692737108398083
20,0.5459922494606939
20,0.7355652548471844
21,0.06577875796004408
21,0.3541930924719937
21,0.2585404938590153
21,0.09647378967264933
21,0.4692076822826156
22,0.0715459469125866
22,0.5344668654176866
22,0.23697200864693213
22,0.14862695253226368
22,0.18694900904229453
23,0.1290436724227727
23,0.31970703459045463
23,0.0678349217867816
23,0.0514536759019545
23,0.10180758202227563
24,0.2813412065977725
24,0.19928869650263153
24,0.190695861040096
24,0.38189846154352214
24,0.1800050473369551
25,0.08971106808080219
25,0.4266034824820516
25,0.1940916421326551
25,0.14899915630325378
25,0.127582318510434
26,0.21682133512755286
26,0.07995252172020127
26,0.1366507786849538
26,0.03813711026829423
26,0.21984044516846946
27,0.30416455971244355
27,0.25310334765500353
27,0.048876490366792494
27,0.15225262712955642
27,0.21654068595736725
28,0.2226635437577043
28,0.4177086401636858
28,0.009602872630544474
28,0.06748743500501231
28,0.3614886649925168
29,0.013138695793800257
29,0.15824472756428326
29,0.19891681190850838
29,0.1771193076007957
29,0.17543380218586246
30,0.24823283525546166
30,0.09465729300221477
30,0.08560529206370912
30,0.1449106522585501
30,0.1803339909169973
31,0.21972002595324178
31,0.14621091917570808
31,0.0047712698638238725
31,0.1034952097874161
31,0.19025652264634713
32,0.13688382981139652
32,0.028853652646563723
32,0.1962674347789826
32,0.06945095267511449
32,0.18999694988567187
33,0.06708002586239133
33,0.023494359671269772
33,0.12887170537394055
33,0.15904526598026367
33,0.11823656319229266
34,0.11368811573517709
34,0.12829847434070224
34,0.0024604349331036383
34,0.17122829550153143
34,0.05541419196334675
35,0.14161382450141483
35,0.06751957678388176
35,0.15131606168680892
35,0.08107338911359654
35,0.038826730320477294
36,0.0632252216813124
36,0.09457178640891142
36,0.12904130899380584
36,0.06113971589321098
36,0.10606599457922503
37,0.22328867492252938
37,0.26424141026253467
37,0.07385634113871337
37,0.2903933290712257
37,0.03129105933782002
38,0.05227214604585075
38,0.11751632219714653
38,0.03231527311172846
38,0.04838450393158087
38,0.02488213301061485
39,0.0411591283269101
39,0.04200192650437961
39,0.14401295065899808
39,0.17396953370414037
39,0.08882796964305995
40,0.018979761302365228
40,0.09347338602335553
40,0.07631420135412868
40,0.04826540104850702
40,0.04576135845786045
