time,num_variables,base_num_polys,max_deg,sum_num_polys,error
0,3,1,2,1,0.9127895803410322
1,3,1,2,1,0.7833433810796655
2,3,1,2,1,0.9835187088987231
3,3,1,2,1,0.9294085291826093
4,3,1,2,1,1.0000000146661883
5,3,1,2,1,1.000000000697355
6,3,1,2,1,0.719263779180962
7,3,1,2,1,1.000000025349948
8,3,1,2,1,0.8362128619810179
9,3,1,2,1,0.9965594121048033
0,3,1,2,4,0.9965927390734041
1,3,1,2,4,1.0000000175501433
2,3,1,2,4,0.8884786740507361
3,3,1,2,4,0.9184375496484866
4,3,1,2,4,0.8079268193277551
5,3,1,2,4,0.9687464594261337
6,3,1,2,4,0.5530990739791466
7,3,1,2,4,1.0000000126680084
8,3,1,2,4,0.9999996824839948
9,3,1,2,4,0.9868475501689011
0,3,1,2,16,0.6683546771343384
1,3,1,2,16,0.9502175527524882
2,3,1,2,16,0.8494639194498894
3,3,1,2,16,0.9459586709123565
4,3,1,2,16,0.6521478486771475
5,3,1,2,16,0.9254949639659102
6,3,1,2,16,0.9366871155738727
7,3,1,2,16,0.7731689767152595
8,3,1,2,16,0.9999039609156528
9,3,1,2,16,0.8967631985237974
0,3,1,2,256,0.8199439878394641
1,3,1,2,256,0.7751635427976374
2,3,1,2,256,0.8769705376335479
3,3,1,2,256,0.7830064471216852
4,3,1,2,256,0.8579053113190759
5,3,1,2,256,0.8723428883420086
6,3,1,2,256,0.8248632102066411
7,3,1,2,256,0.8117726884830556
8,3,1,2,256,0.8339480541691577
9,3,1,2,256,0.8131561773668503
0,3,1,2,1024,0.8490215435857047
1,3,1,2,1024,0.8597281581023928
2,3,1,2,1024,0.79585178536606
3,3,1,2,1024,0.8288261205236443
4,3,1,2,1024,0.8375258224857587
5,3,1,2,1024,0.8168388224935236
6,3,1,2,1024,0.8741831907217953
7,3,1,2,1024,0.8650462901730721
8,3,1,2,1024,0.8458536601243769
9,3,1,2,1024,0.822990616463217
0,3,4,2,1,0.3664614515305987
1,3,4,2,1,0.3041320204646455
2,3,4,2,1,0.5304398605325598
3,3,4,2,1,0.6044531919192874
4,3,4,2,1,0.45327146591031403
5,3,4,2,1,0.9095510087311579
6,3,4,2,1,0.9151277596389641
7,3,4,2,1,0.7862208227508671
8,3,4,2,1,0.3124641941552906
9,3,4,2,1,0.026944587211139206
0,3,4,2,4,0.6120299442488834
1,3,4,2,4,0.2498063371811445
2,3,4,2,4,0.5706790077804722
3,3,4,2,4,0.60824915941554
4,3,4,2,4,0.9868109799180718
5,3,4,2,4,0.3424873750845516
6,3,4,2,4,0.8721813979711869
7,3,4,2,4,0.4497798092414353
8,3,4,2,4,0.730700039732397
9,3,4,2,4,0.6873322118157655
0,3,4,2,16,0.49226075364942534
1,3,4,2,16,0.35529283727411715
2,3,4,2,16,0.2219279070121944
3,3,4,2,16,0.5489473377347572
4,3,4,2,16,0.27363103354408597
5,3,4,2,16,0.4636763189307643
6,3,4,2,16,0.6332757736716669
7,3,4,2,16,0.6633491505309319
8,3,4,2,16,0.62892152127774
9,3,4,2,16,0.45464555261098427
0,3,4,2,256,0.43842356772226154
1,3,4,2,256,0.5061961163076933
2,3,4,2,256,0.605564243666887
3,3,4,2,256,0.3733903778277064
4,3,4,2,256,0.4526519421472069
5,3,4,2,256,0.4323662362583583
6,3,4,2,256,0.566383689006841
7,3,4,2,256,0.42338564984694305
8,3,4,2,256,0.5176004178706628
9,3,4,2,256,0.5342426160217344
0,3,4,2,1024,0.5094356469137618
1,3,4,2,1024,0.5004912347771092
2,3,4,2,1024,0.5581685467133173
3,3,4,2,1024,0.4396185387306131
4,3,4,2,1024,0.4085701430072847
5,3,4,2,1024,0.4627241556432954
6,3,4,2,1024,0.5065984132064906
7,3,4,2,1024,0.4352216392822915
8,3,4,2,1024,0.43070828985311815
9,3,4,2,1024,0.20885068772971446
0,3,16,2,1,0.34864498044840736
1,3,16,2,1,0.04279244698232175
2,3,16,2,1,0.11233959994163313
3,3,16,2,1,0.3524575063716766
4,3,16,2,1,0.17748531086674
5,3,16,2,1,0.020067636921714406
6,3,16,2,1,0.2480228702306122
7,3,16,2,1,0.05447071291922015
8,3,16,2,1,0.10718387691333994
9,3,16,2,1,0.4060683110376522
0,3,16,2,4,0.12961421572651788
1,3,16,2,4,0.028872275017197524
2,3,16,2,4,0.06647364199358494
3,3,16,2,4,0.04749168370819074
4,3,16,2,4,0.07726225606509561
5,3,16,2,4,0.005346055988823692
6,3,16,2,4,0.09735028978249978
7,3,16,2,4,0.022964425778120665
8,3,16,2,4,0.444345483057655
9,3,16,2,4,0.3256325626450156
0,3,16,2,16,0.03368962131198098
1,3,16,2,16,0.02253137190322142
2,3,16,2,16,0.041432094580031935
3,3,16,2,16,2.994431807858527e-09
4,3,16,2,16,0.016453004218418946
5,3,16,2,16,0.015668131273342795
6,3,16,2,16,0.1323460940924048
7,3,16,2,16,0.0008750382050154041
8,3,16,2,16,0.06003972464632873
9,3,16,2,16,0.16536621480449618
0,3,16,2,256,0.00029610372548792444
1,3,16,2,256,0.046380614189453044
2,3,16,2,256,0.12357964995467442
3,3,16,2,256,3.0833059540718855e-11
4,3,16,2,256,0.014903964466359238
5,3,16,2,256,0.000710198408513106
6,3,16,2,256,0.00044227563970477207
7,3,16,2,256,1.753576002540366e-10
8,3,16,2,256,0.004156256678668064
9,3,16,2,256,2.1160467621132976e-09
0,3,16,2,1024,1.212286156949802e-09
1,3,16,2,1024,0.0005568881506037098
2,3,16,2,1024,0.045971529714771024
3,3,16,2,1024,0.07489437068209677
4,3,16,2,1024,0.049412777103244064
5,3,16,2,1024,0.005735700128483329
6,3,16,2,1024,7.014187439737985e-10
7,3,16,2,1024,0.02681257823150502
8,3,16,2,1024,0.002897760478902245
9,3,16,2,1024,1.7359901082910643e-10
0,3,64,2,1,0.0320333336146841
1,3,64,2,1,0.029957311856002204
2,3,64,2,1,0.012164545575117812
3,3,64,2,1,0.017619948828346423
4,3,64,2,1,0.06025250834989796
5,3,64,2,1,0.039037765554446165
6,3,64,2,1,0.06350445930703842
7,3,64,2,1,0.026615802887292626
8,3,64,2,1,0.019153888740319036
9,3,64,2,1,0.005667880503058804
0,3,64,2,4,3.8298369952146254e-05
1,3,64,2,4,4.7576111969958555e-11
2,3,64,2,4,0.00019810937430660925
3,3,64,2,4,0.03133359142388228
4,3,64,2,4,0.00013094138110762447
5,3,64,2,4,1.616078730992911e-05
6,3,64,2,4,0.013081956920333895
7,3,64,2,4,0.0039822099542340065
8,3,64,2,4,0.0004103747097672267
9,3,64,2,4,0.0003309974909185406
0,3,64,2,16,1.3400226346027123e-10
1,3,64,2,16,3.45701889385933e-11
2,3,64,2,16,2.3391629225422805e-11
3,3,64,2,16,2.7250637810510596e-11
4,3,64,2,16,1.2496533532869775e-10
5,3,64,2,16,1.1274526384011596e-11
6,3,64,2,16,8.271451504632263e-12
7,3,64,2,16,9.892185842994368e-12
8,3,64,2,16,2.2065780519174904e-11
9,3,64,2,16,4.675576179520066e-10
0,3,64,2,256,2.292399542937658e-12
1,3,64,2,256,6.463982138674496e-13
2,3,64,2,256,6.483527294050002e-13
3,3,64,2,256,1.3814149486733858e-11
4,3,64,2,256,3.5424185784130207e-10
5,3,64,2,256,1.3564369663252865e-10
6,3,64,2,256,3.2171595794549744e-10
7,3,64,2,256,1.2920844706422833e-11
8,3,64,2,256,8.207630337095963e-13
9,3,64,2,256,6.769575922806811e-13
0,3,64,2,1024,5.592447915434307e-13
1,3,64,2,1024,6.429979549611387e-13
2,3,64,2,1024,2.399963740731256e-10
3,3,64,2,1024,4.2680122125849825e-12
4,3,64,2,1024,1.5867878484422874e-12
5,3,64,2,1024,2.8166024219163104e-12
6,3,64,2,1024,2.393657402219726e-12
7,3,64,2,1024,2.0263466899263024e-10
8,3,64,2,1024,6.69277946255764e-13
9,3,64,2,1024,1.5807828690443754e-10
