time,num_variables,base_num_polys,max_deg,sum_num_polys,error
0,3,1,2,1,0.9967441462385502
1,3,1,2,1,1.0000000075124906
2,3,1,2,1,1.0000000132969011
3,3,1,2,1,0.9868296559909577
4,3,1,2,1,0.9737867305449505
0,3,1,2,4,0.9683385944744836
1,3,1,2,4,0.9379995684006877
2,3,1,2,4,0.9999914699567695
3,3,1,2,4,0.9440411261557462
4,3,1,2,4,0.5900985156930285
0,3,1,2,16,0.9690023567107141
1,3,1,2,16,0.9952372026345814
2,3,1,2,16,0.905901804617653
3,3,1,2,16,0.9728635794550532
4,3,1,2,16,0.8336268890072729
0,3,1,2,256,0.8377128166354846
1,3,1,2,256,0.8698669779744519
2,3,1,2,256,0.8128468378415767
3,3,1,2,256,0.8354683288503215
4,3,1,2,256,0.8278016774081911
0,3,1,2,1024,0.8510062931345073
1,3,1,2,1024,0.8782343435748639
2,3,1,2,1024,0.8558960038604633
3,3,1,2,1024,0.8778122384172607
4,3,1,2,1024,0.8740892627477661
0,3,2,2,1,0.8600307013230681
1,3,2,2,1,1.000000004407243
2,3,2,2,1,0.41118673706613956
3,3,2,2,1,0.9108060334930805
4,3,2,2,1,0.8739083209122475
0,3,2,2,4,0.8847202749365376
1,3,2,2,4,0.9797873687641531
2,3,2,2,4,0.7311502453991853
3,3,2,2,4,0.3222099238682767
4,3,2,2,4,0.7353593636075039
0,3,2,2,16,0.325951362516213
1,3,2,2,16,0.4533334820394551
2,3,2,2,16,0.9567729561933638
3,3,2,2,16,0.7261803750221779
4,3,2,2,16,0.9180574289253377
0,3,2,2,256,0.6961988995553476
1,3,2,2,256,0.747336796218332
2,3,2,2,256,0.5849803144390511
3,3,2,2,256,0.6092120111970125
4,3,2,2,256,0.5339716233049149
0,3,2,2,1024,0.7583513078895057
1,3,2,2,1024,0.7726819760426433
2,3,2,2,1024,0.5693467240299416
3,3,2,2,1024,0.6427759416792932
4,3,2,2,1024,0.7774734040390885
0,3,3,2,1,0.9920687852403148
1,3,3,2,1,0.335516922416281
2,3,3,2,1,0.19493427521429205
3,3,3,2,1,0.9258451138772348
4,3,3,2,1,0.6618684931061151
0,3,3,2,4,0.7613801638075527
1,3,3,2,4,0.9368871056002824
2,3,3,2,4,0.6727894581013292
3,3,3,2,4,0.76366039739878
4,3,3,2,4,0.6967001853626106
0,3,3,2,16,0.7223736465494546
1,3,3,2,16,0.39622659459722753
2,3,3,2,16,0.4536536103114431
3,3,3,2,16,0.4415966787243927
4,3,3,2,16,0.6150339834445001
0,3,3,2,256,0.5271497294660199
1,3,3,2,256,0.652798664355261
2,3,3,2,256,0.5953968991289541
3,3,3,2,256,0.5846035118481105
4,3,3,2,256,0.53401474918686
0,3,3,2,1024,0.5716718753755593
1,3,3,2,1024,0.4611607604495984
2,3,3,2,1024,0.6637997002583571
3,3,3,2,1024,0.5916512622413438
4,3,3,2,1024,0.6292384727056571
0,3,4,2,1,0.9123086182327617
1,3,4,2,1,0.2996407862402838
2,3,4,2,1,0.9614099235994203
3,3,4,2,1,0.3403121807292715
4,3,4,2,1,0.6610626144272587
0,3,4,2,4,0.5512508633225164
1,3,4,2,4,0.7856004624023463
2,3,4,2,4,0.5399804938098343
3,3,4,2,4,0.34688579362873406
4,3,4,2,4,0.8913892030465044
0,3,4,2,16,0.740028182957766
1,3,4,2,16,0.24233838054220544
2,3,4,2,16,0.14722666776838508
3,3,4,2,16,0.5298842011639587
4,3,4,2,16,0.4471258022092498
0,3,4,2,256,0.4538550603643079
1,3,4,2,256,0.4685484103364983
2,3,4,2,256,0.4943392336078388
3,3,4,2,256,0.42669832970623267
4,3,4,2,256,0.3030881831354786
0,3,4,2,1024,0.4626004588429525
1,3,4,2,1024,0.3688138519294491
2,3,4,2,1024,0.3691332481023688
3,3,4,2,1024,0.4302788984964481
4,3,4,2,1024,0.37716146640190945
